session_id,quantity,total_price
9014734,81,802253
11360961,8,669368
9601621,6,615126
1566522,2,523390
1541573,8,493440
953756,59,411378
10265354,2,397726
10805412,20,380124
10972772,3,376677
10504648,12,363996
115171,6,351230
213366,12,350604
8197759,1,334998
1670007,4,334684
11365981,21,327663
195507,16,325036
9247252,9,318451
1424596,2,313950
1530248,21,313733
995466,10,313110
11308809,20,312060
9216269,3,307563
9706511,3,307563
397628,2,303478
8258711,16,297606
8166994,1,293111
11045812,1,293111
970744,2,293006
10591276,4,292796
1327934,4,284420
650691,2,282534
601904,66,278680
420608,5,276985
372032,10,276460
1481593,2,276250
11077209,8,276038
731147,6,275832
10853514,12,275204
10466484,18,273730
448983,2,272062
712059,2,272062
1220583,2,272062
8260198,9,268605
8519923,1,265883
9262599,1,265883
9561464,1,265883
1011862,1,261695
1044178,1,261695
1193439,1,261695
1477418,1,261695
8508843,2,261590
9597069,18,252782
10113778,40,251280
1520959,2,251118
8522147,2,251118
8200933,3,251013
9627171,8,250488
474087,2,249651
612426,2,249024
1193279,9,244098
817427,8,243970
9989629,2,240646
194654,1,238656
10954451,40,230340
391517,1,230279
1304104,2,230174
813662,10,229284
8592538,6,228708
222533,60,219860
506574,2,219702
1762514,3,219597
8139674,3,219597
9480782,3,219597
10270601,3,219597
10647664,3,219597
9656557,9,218970
11308749,12,216560
428198,108,214740
1226359,1,214571
1281538,1,214571
10403621,60,209380
634677,1,209335
1478809,2,209230
10986052,2,209230
161478,4,209020
818954,8,208600
11307463,1,208288
9402276,2,205042
10074891,2,205042
10147176,2,205042
1251362,32,199550
8408481,1,198863
8613539,1,198863
9768511,1,198863
11178137,1,198863
8895826,2,198758
10156882,2,198758
11324086,10,197920
1212064,1,196768
8442072,1,196768
