,cat,status_x,clicks_count,status_y,buys_count,ratio
0,0,0,4599577,1,258426,0.056184732
1,1,0,597856,1,30675,0.051308342
2,2,0,511124,1,18928,0.03703211
3,3,0,270914,1,20260,0.07478388
4,4,0,177484,1,7536,0.042460165
5,5,0,208998,1,10107,0.048359314
6,6,0,173917,1,7029,0.040415831
7,7,0,157767,1,6995,0.044337536
8,8,0,17173,1,1613,0.093926513
9,9,0,51146,1,1829,0.035760372
10,10,0,26222,1,3069,0.117039127
11,11,0,32709,1,1126,0.034424776
12,12,0,10439,1,727,0.069642686
13,13,0,3633955,1,194829,0.053613487
14,14,0,35035,1,1046,0.029855858
