item_id,quantity
214507331,263
214507365,73
214507385,73
214507387,49
214507408,51
214507415,33
214507445,54
214507447,107
214507492,120
214507556,42
214507610,76
214507708,37
214507802,26
214508000,1
214508027,42
214508225,36
214508244,74
214508287,331
214508304,86
214508308,95
214508321,1
214508347,45
214508377,2
214508379,3
214508439,5
214508475,71
214508488,1
214508531,6
214508535,30
214508537,9
214508555,18
214508557,14
214508563,36
214508576,2
214508585,16
214508852,2
214508942,278
214508964,6
214509000,89
214509002,29
214509013,84
214509035,27
214509037,10
214509039,15
214509041,38
214509071,2
214509073,2
214509084,477
214509090,7
214509125,256
214509127,15
214509133,17
214509135,40
214509142,12
214509144,94
214509146,42
214509148,78
214509150,43
214509152,49
214509155,49
214509157,30
214509161,8
214509163,19
214509172,16
214509174,15
214509176,3
214509178,1
214509195,9
214509206,18
214509260,6
214509264,1
214509266,2
214509270,1
214509296,10
214509298,5
214509300,12
214509305,6
214509307,8
214509311,3
214509313,2
214509320,17
214509328,1
214509341,1
214509352,1
214509354,2
214509356,4
214509358,1
214509362,1
214509365,3
214509375,2
214509399,45
214509401,1389
214509403,81
214509517,2
214509525,68
214509527,10
214509549,1
214509570,1
214509572,5
214509587,2
214509590,1
214509592,1
214509600,2
214509605,1
214509607,2
214509609,7
214509611,2
214509615,1
214509628,1
214509630,2
214509632,2
214509635,1
214509637,6
214509639,10
214509641,1
214509645,1
214509650,5
214509652,3
214509654,1
214509656,3
214509658,3
214509665,1
214509667,1
214509673,3
214509690,2
214509699,4
214509701,4
214509703,1
214509716,1
214509720,1
214509725,1
214509729,2
214509731,4
214509733,1
214509735,1
214509737,8
214509740,6
214509746,1
214509748,2
214509750,18
214509752,2
214509755,1
214509757,1
214509759,2
214509761,2
214509763,2
214509770,1
214509778,2
214509780,1
214509782,3
214509785,4
214509787,23
214509795,2
214509797,7
214509830,60
214509842,94
214509845,69
214509855,5
214509864,39
214509870,29
214509877,16
214509879,9
214509881,4
214509892,10
214509907,4
214509909,12
214509911,10
214509913,27
214509915,8
214509920,16
214509930,3
214509939,10
214509943,38
214509980,4
214509982,3
214509984,24
214510044,239
214510048,28
214510057,2
214510070,23
214510074,26
214510089,14
214510091,7
214510108,1
214510117,11
214510205,11
214510209,5
214510215,6
214510445,1598
214510447,166
214510449,48
214510451,54
214510453,26
214510455,6
214510460,389
214510689,20
214510700,23
214510712,7
214510727,3
214510730,5
214510738,56
214510755,32
214510757,227
214510772,7
214510775,140
214510777,45
214510779,28
214510781,39
214510783,92
214510785,30
214510802,13
214510805,19
214510807,72
214510820,24
214510854,183
214510875,11
214511006,26
214511015,162
214511047,25
214511053,9
214511055,6
214511057,4
214511060,1
214511062,4
214511068,15
214511070,42
214511072,29
214511075,28
214511083,9
214511092,4
214511102,11
214511109,3
214511111,1
214511115,8
214511117,20
214511120,4
214511152,7
214511195,7
214511265,2
214511319,6
214511402,1
214511465,91
214511488,19
214511501,38
214511664,17
214511696,126
214511743,1
214511790,4
214511803,54
214511816,2
214511840,1
214511852,8
214511870,11
214511900,6
214511932,1
214511953,3
214511966,25
214512000,2
214512080,9
214512122,37
214512137,40
214512152,58
214512172,1
214512189,14
214512236,16
214512262,40
214512277,31
214512412,2
214512414,14
214512416,86
214512420,3
214512425,188
214512427,4
214512429,48
214512431,78
214512444,5
214512457,4
214512476,14
214512482,2
214512504,10
214512506,6
214512547,1
214512605,36
214512611,108
214512626,1
214512630,35
214512635,12
214512645,4
214512647,13
214512650,8
214512652,7
214512654,6
214512656,12
214512658,7
214512660,2
214512662,2
214512665,5
214512667,3
214512669,7
214512671,17
214512673,7
214512675,8
214512680,1
214512682,5
214513061,10
214513063,20
214513065,11
214513155,11
214513170,50
214513284,75
214513286,44
214513288,6
214513290,20
214513295,2
214513297,1
214513299,7
214513301,1
214513314,4
214513322,1
214513329,2
214513331,2
214513333,2
214513335,4
214513337,1
214513340,2
214513342,5
214513346,3
214513348,1
214513350,3
214513352,7
214513355,3
214513357,5
214513359,9
214513361,3
214513363,7
214513365,2
214513370,8
214513374,13
214513376,3
214513378,6
214513380,1
214513382,3
214513387,1
214513389,3
214513393,3
214513397,3
214513402,1
214513404,4
214513406,1
214513408,7
214513415,7
214513417,3
214513421,2
214513425,3
214514220,2
214514222,3
214514225,12
214514227,7
214514229,14
214514231,7
214514233,26
214514235,20
214514237,28
214514240,26
214514242,10
214514244,13
214514246,19
214514248,15
214514250,13
214514252,9
214514255,21
214514257,27
214514259,15
214514261,36
214514263,27
214514265,52
214514267,46
214514270,43
214514272,68
214514274,45
214514276,46
214514278,29
214514280,73
214514282,57
214514285,17
214514287,146
214514289,26
214514291,117
214514293,86
214514295,127
214514317,26
214514319,12
214514321,18
214514323,22
214514325,26
214514527,1
214514540,2
214514640,9
214514732,1
214514780,2
214515823,28
214515825,218
214515830,239
214515834,56
214515836,8
214515842,67
214515845,37
214515847,29
214515870,37
214515872,41
214515881,13
214515883,248
214515999,38
214516005,38
214516012,62
214516014,54
214516020,35
214516027,60
214516031,12
214516033,101
214516040,1
214516042,16
214516048,36
214516055,59
214516065,94
214516080,9
214516085,125
214516087,84
214516108,28
214516110,6
214516112,6
214516115,1
214516117,7
214516123,4
214516125,18
214516127,13
214516136,41
214516138,7
214516140,21
214516142,31
214516147,8
214516149,16
214516181,7
214516183,1
214516187,8
214516190,1
214516192,2
214516194,2
214516196,1
214516213,1
214516708,99
214516723,106
214516738,123
214516740,34
214516749,258
214516766,8
214516768,83
214516790,58
214516794,56
214516895,2
214517443,167
214517445,97
214517450,193
214517452,16
214517454,19
214517880,129
214518555,46
214518594,67
214518626,15
214518637,27
214518639,49
214518641,57
214518643,72
214518650,1
214518652,54
214518690,22
214518707,86
214518817,56
214518823,62
214518836,58
214523606,79
214523610,18
214523632,22
214523679,102
214523681,55
214523690,71
214523692,20
214523700,132
214523709,107
214526000,48
214526083,436
214526190,35
214526197,7
214526657,13
214527028,19
214527519,51
214530247,6
214530264,40
214530373,1
214530386,4
214530450,13
214530457,84
214530465,1
214530474,12
214530485,10
214530487,2
214530491,20
214530497,2
214530500,4
214530502,8
214530506,8
214530527,3
214530542,7
214530549,8
214530551,4
214530555,127
214530572,40
214530575,17
214530665,23
214530667,1
214530686,1
214530695,1
214530697,2
214530701,8
214530703,5
214530705,17
214530710,21
214530712,1
214530716,1
214530718,2
214530725,1
214530729,28
214530731,9
214530733,4
214530735,3
214530737,3
214530774,4
214530776,2
214530778,6
214530780,4
214530782,14
214530787,4
214530789,344
214530791,39
214530793,2
214530795,1
214530800,2
214530802,1
214530842,1
214530857,1
214530860,1
214530866,2
214530875,1
214530879,1
214530885,1
214530887,3
214530890,3
214530900,1
214530905,7
214530907,5
214530922,5
214530945,3
214530947,1
214530952,2
214530958,4
214530982,2
214530997,4
214531003,4
214531007,2
214531010,2
214531012,2
214531016,2
214531018,2
214531022,2
214531074,81
214531130,17
214531132,11
214531134,17
214531136,8
214531138,5
214531142,5
214531145,11
214531147,2
214531151,15
214531153,14
