,length,buys,len_num,ratio
0,1,0,1237348,0
1,2,20737,3468867,0.005978033
2,3,80754,1620335,0.049837842
3,4,71046,949366,0.074835206
4,5,49557,548244,0.090392234
5,6,44629,372396,0.119842855
6,7,34750,243992,0.142422702
7,8,29881,176456,0.169339665
8,9,24586,126230,0.194771449
9,10,21064,96514,0.21824813
10,11,17794,71937,0.247355325
11,12,15193,57376,0.264797128
12,13,12884,44692,0.288284257
13,14,11110,36177,0.307101197
14,15,9636,29312,0.328739083
15,16,8325,24168,0.344463754
16,17,6863,19630,0.349617932
17,18,6196,16710,0.370795931
18,19,5193,13728,0.378277972
19,20,4746,11908,0.398555593
20,21,3961,10055,0.393933366
21,22,3393,8554,0.396656535
22,23,3032,7413,0.409011197
23,24,2606,6421,0.405855786
24,25,2363,5546,0.426072845
25,26,2054,4842,0.424204874
26,27,1814,4274,0.424426766
27,28,1568,3786,0.414157422
28,29,1312,3194,0.410770194
29,30,1243,2873,0.432648799
30,31,1068,2477,0.431166734
31,32,985,2311,0.426222415
32,33,823,1970,0.417766497
33,34,740,1697,0.436063642
34,35,671,1534,0.437418514
35,36,606,1435,0.422299652
36,37,564,1322,0.426626324
37,38,528,1171,0.45089667
38,39,456,1035,0.44057971
39,40,402,933,0.430868167
40,41,362,835,0.433532934
41,42,348,766,0.454308094
42,43,306,687,0.445414847
43,44,270,617,0.437601297
44,45,260,603,0.431177446
45,46,247,567,0.435626102
46,47,222,511,0.43444227
47,48,175,458,0.38209607
48,49,162,411,0.394160584
49,50,162,386,0.419689119
50,51,137,328,0.417682927
51,52,139,315,0.441269841
52,53,111,302,0.367549669
53,54,106,268,0.395522388
54,55,103,263,0.391634981
55,56,97,250,0.388
56,57,103,240,0.429166667
57,58,96,248,0.387096774
58,59,74,188,0.393617021
59,60,69,176,0.392045455
60,61,64,154,0.415584416
61,62,48,134,0.358208955
62,63,60,158,0.379746835
63,64,57,141,0.404255319
64,65,44,125,0.352
65,66,44,127,0.346456693
66,67,40,114,0.350877193
67,68,33,114,0.289473684
68,69,40,112,0.357142857
69,70,39,108,0.361111111
70,71,23,80,0.2875
71,72,28,92,0.304347826
72,73,35,83,0.421686747
73,74,30,71,0.422535211
74,75,25,73,0.342465753
75,76,23,81,0.283950617
76,77,18,61,0.295081967
77,78,25,68,0.367647059
78,79,18,61,0.295081967
79,80,19,44,0.431818182
80,81,9,47,0.191489362
81,82,16,43,0.372093023
82,83,10,39,0.256410256
83,84,14,47,0.29787234
84,85,7,22,0.318181818
85,86,9,32,0.28125
86,87,8,31,0.258064516
87,88,15,38,0.394736842
88,89,6,24,0.25
89,90,11,27,0.407407407
90,91,8,28,0.285714286
91,92,11,30,0.366666667
92,93,8,23,0.347826087
93,94,6,23,0.260869565
94,95,9,27,0.333333333
95,96,7,18,0.388888889
96,97,6,16,0.375
97,98,7,28,0.25
98,99,6,24,0.25
99,100,5,16,0.3125
100,101,5,13,0.384615385
101,102,2,19,0.105263158
102,103,4,13,0.307692308
103,104,2,14,0.142857143
104,105,0,8,0
105,106,5,18,0.277777778
106,107,2,10,0.2
107,108,7,14,0.5
108,109,4,13,0.307692308
109,110,2,14,0.142857143
110,111,2,15,0.133333333
111,112,0,5,0
112,113,5,13,0.384615385
113,114,1,8,0.125
114,115,5,8,0.625
115,116,4,12,0.333333333
116,117,4,11,0.363636364
117,118,0,3,0
118,119,1,10,0.1
119,120,2,6,0.333333333
120,121,2,10,0.2
121,122,2,5,0.4
122,123,1,9,0.111111111
123,124,3,11,0.272727273
124,125,0,3,0
125,126,3,10,0.3
126,127,2,4,0.5
127,128,0,2,0
128,129,3,9,0.333333333
129,130,4,6,0.666666667
130,131,1,4,0.25
131,132,1,5,0.2
132,133,3,7,0.428571429
133,134,3,7,0.428571429
134,135,0,5,0
135,136,2,6,0.333333333
136,137,1,6,0.166666667
137,138,2,7,0.285714286
138,139,0,2,0
139,140,0,3,0
140,141,0,3,0
141,142,3,4,0.75
142,143,3,5,0.6
143,144,0,1,0
144,145,0,5,0
145,146,0,4,0
146,147,2,6,0.333333333
147,148,1,4,0.25
148,149,0,2,0
149,150,0,2,0
150,151,0,2,0
151,152,2,3,0.666666667
152,153,0,4,0
153,154,0,4,0
154,156,2,3,0.666666667
155,157,0,2,0
156,159,0,1,0
157,160,1,3,0.333333333
158,161,0,5,0
159,162,0,2,0
160,163,1,3,0.333333333
161,164,0,2,0
162,166,0,1,0
163,167,0,2,0
164,170,2,3,0.666666667
165,171,0,1,0
166,172,1,5,0.2
167,173,1,1,1
168,174,1,3,0.333333333
169,175,0,1,0
170,176,0,1,0
171,178,0,1,0
172,179,0,1,0
173,180,0,1,0
174,181,0,3,0
175,183,0,2,0
176,185,0,4,0
177,187,1,3,0.333333333
178,188,1,1,1
179,189,0,2,0
180,190,1,1,1
181,191,0,1,0
182,193,0,1,0
183,194,0,1,0
184,195,0,3,0
185,197,1,2,0.5
186,198,1,2,0.5
187,200,0,24,0
188,201,1,1,1
189,202,1,1,1
190,206,1,1,1
191,208,1,1,1
192,209,1,1,1
193,214,1,1,1
194,215,1,1,1
195,262,1,1,1
