userID,itemID,rating,category,occupation
1882,6,3,EggFood,professor
1882,22,4,Veg,professor
1882,9,4,Drinks,professor
1882,30,3,SeaFood,professor
1882,28,4,Drinks,professor
1882,49,2,Non Veg,professor
1966,6,1,EggFood,architecturer
1966,16,1,Drinks,architecturer
1966,42,1,Non Veg,architecturer
1966,32,4,SeaFood,architecturer
1966,44,2,Non Veg,architecturer
1966,5,3,Non Veg,architecturer
1966,40,2,Veg,architecturer
1569,6,3,EggFood,sportsperson
1569,10,1,Drinks,sportsperson
1569,28,4,Drinks,sportsperson
1569,45,4,Non Veg,sportsperson
1569,36,1,SeaFood,sportsperson
396,6,2,EggFood,architecturer
396,25,4,Drinks,architecturer
396,10,1,Drinks,architecturer
396,4,2,Non Veg,architecturer
396,46,3,Veg,architecturer
396,15,4,Drinks,architecturer
396,5,3,Non Veg,architecturer
396,41,4,Veg,architecturer
396,36,1,SeaFood,architecturer
591,6,1,EggFood,educator
591,6,2,EggFood,educator
591,27,3,Bakery,educator
591,19,1,Non Veg,educator
591,21,3,Veg,educator
591,43,4,Veg,educator
591,32,2,SeaFood,educator
591,36,1,SeaFood,educator
591,31,1,Non Veg,educator
591,35,1,SeaFood,educator
591,29,1,Non Veg,educator
1994,6,1,EggFood,doctor
1994,17,3,Bakery,doctor
1994,21,4,Veg,doctor
1994,15,1,Drinks,doctor
1854,6,2,EggFood,doctor
1854,19,2,Non Veg,doctor
1854,17,2,Bakery,doctor
1854,3,1,Non Veg,doctor
875,6,1,EggFood,engineer
875,22,1,Veg,engineer
875,38,1,Non Veg,engineer
875,2,1,Non Veg,engineer
875,12,3,Drinks,engineer
875,18,1,Bakery,engineer
350,6,4,EggFood,student
350,47,2,Veg,student
350,15,1,Drinks,student
1585,6,3,EggFood,engineer
1585,27,2,Bakery,engineer
173,6,2,EggFood,scientist
173,27,1,Bakery,scientist
173,2,1,Non Veg,scientist
173,30,1,SeaFood,scientist
173,49,1,Non Veg,scientist
173,31,1,Non Veg,scientist
173,35,2,SeaFood,scientist
850,6,4,EggFood,student
850,25,3,Drinks,student
850,19,3,Non Veg,student
850,43,2,Veg,student
850,4,4,Non Veg,student
850,46,1,Veg,student
850,8,1,Drinks,student
850,31,3,Non Veg,student
1933,6,1,EggFood,scientist
1933,39,2,Non Veg,scientist
1933,43,4,Veg,scientist
1933,32,4,SeaFood,scientist
1111,6,4,EggFood,educator
1111,15,1,Drinks,educator
89,6,3,EggFood,sportsperson
89,19,3,Non Veg,sportsperson
89,14,2,Drinks,sportsperson
89,18,1,Bakery,sportsperson
89,18,1,Bakery,sportsperson
89,29,4,Non Veg,sportsperson
1588,6,4,EggFood,dancer
1588,27,3,Bakery,dancer
1588,17,1,Bakery,dancer
1588,3,3,Non Veg,dancer
