userID,itemID,rating,category
1,16,2,Drinks
1,19,4,Non Veg
1,42,3,Non Veg
1,43,3,Veg
1,33,2,SeaFood
2,16,2,Drinks
2,14,2,Drinks
2,48,2,Bakery
2,30,2,SeaFood
2,12,1,Drinks
2,46,4,Veg
2,44,4,Non Veg
2,44,3,Non Veg
2,8,1,Drinks
3,10,1,Drinks
3,5,2,Non Veg
3,45,2,Non Veg
3,18,1,Bakery
4,14,2,Drinks
4,40,2,Veg
4,41,1,Veg
4,8,4,Drinks
4,31,4,Non Veg
5,16,1,Drinks
5,3,3,Non Veg
5,2,2,Non Veg
5,2,2,Non Veg
5,44,1,Non Veg
6,16,3,Drinks
6,23,1,Veg
6,8,1,Drinks
7,16,2,Drinks
7,17,4,Bakery
7,17,4,Bakery
7,14,1,Drinks
7,23,1,Veg
7,46,4,Veg
7,8,1,Drinks
8,47,3,Veg
8,9,2,Drinks
8,42,2,Non Veg
8,14,3,Drinks
8,48,4,Bakery
8,46,3,Veg
8,15,2,Drinks
8,5,4,Non Veg
8,33,1,SeaFood
8,35,2,SeaFood
9,7,1,Drinks
9,4,2,Non Veg
9,40,4,Veg
9,40,4,Veg
10,34,1,SeaFood
10,21,3,Veg
10,38,4,Non Veg
11,16,1,Drinks
11,16,3,Drinks
11,47,4,Veg
11,34,1,SeaFood
11,28,4,Drinks
11,37,3,Veg
11,15,4,Drinks
11,33,4,SeaFood
12,27,1,Bakery
12,14,4,Drinks
12,37,4,Veg
12,12,2,Drinks
12,12,4,Drinks
12,15,1,Drinks
12,29,1,Non Veg
13,14,2,Drinks
13,24,4,Veg
13,15,1,Drinks
13,36,2,SeaFood
14,27,2,Bakery
14,27,2,Bakery
14,20,3,Veg
14,29,3,Non Veg
15,25,4,Drinks
15,17,1,Bakery
15,3,2,Non Veg
15,43,4,Veg
15,45,4,Non Veg
16,39,3,Non Veg
16,47,1,Veg
16,2,4,Non Veg
17,21,4,Veg
17,4,1,Non Veg
17,32,2,SeaFood
17,1,3,EggFood
18,27,3,Bakery
18,47,4,Veg
18,9,1,Drinks
18,46,3,Veg
18,18,4,Bakery
19,39,1,Non Veg
19,45,1,Non Veg
19,41,2,Veg
19,35,3,SeaFood
19,1,2,EggFood
20,48,2,Bakery
20,12,1,Drinks
20,12,4,Drinks
20,20,2,Veg
20,41,3,Veg
20,26,1,Drinks
21,17,2,Bakery
21,47,4,Veg
21,9,1,Drinks
21,28,4,Drinks
21,36,1,SeaFood
21,18,2,Bakery
21,11,4,Drinks
22,30,1,SeaFood
22,8,4,Drinks
22,31,4,Non Veg
22,1,1,EggFood
23,38,4,Non Veg
23,10,2,Drinks
23,24,1,Veg
23,15,1,Drinks
24,47,4,Veg
24,28,3,Drinks
24,15,1,Drinks
24,1,4,EggFood
25,12,2,Drinks
25,46,1,Veg
25,31,1,Non Veg
26,27,3,Bakery
26,3,4,Non Veg
26,48,4,Bakery
26,10,1,Drinks
26,23,3,Veg
26,7,4,Drinks
26,24,2,Veg
26,44,4,Non Veg
26,41,4,Veg
27,3,4,Non Veg
27,30,2,SeaFood
27,43,3,Veg
28,2,3,Non Veg
28,30,1,SeaFood
28,12,3,Drinks
28,26,4,Drinks
28,26,3,Drinks
29,34,4,SeaFood
29,2,2,Non Veg
29,46,3,Veg
29,15,1,Drinks
29,41,4,Veg
29,29,1,Non Veg
30,27,3,Bakery
30,34,1,SeaFood
30,44,3,Non Veg
30,33,3,SeaFood
30,41,4,Veg
30,36,1,SeaFood
30,31,2,Non Veg
31,4,2,Non Veg
31,33,3,SeaFood
31,36,1,SeaFood
32,17,3,Bakery
32,9,2,Drinks
32,43,1,Veg
32,28,1,Drinks
32,23,3,Veg
32,12,3,Drinks
32,12,3,Drinks
33,16,4,Drinks
33,27,3,Bakery
33,47,2,Veg
33,31,2,Non Veg
33,31,3,Non Veg
33,18,2,Bakery
34,3,3,Non Veg
34,37,4,Veg
34,20,3,Veg
34,15,4,Drinks
